payer,receiver,amount
59255,982672,97052.16
141415,254516,32489.39
253448,1010064,27390.1
560493,211909,31711.72
171281,701839,25573.21
1513883,1263896,26295.05
276232,97117,21518.87
49616,239176,80551.76
50048,80044,77580.77
903750,1058001,30586.92
127006,637960,30127.64
642370,1350484,40898.8
533661,68399,80208.46
140819,462252,31120.98
8943,85655,38647.09
42707,32585,51095.57
224753,250136,85459.91
162685,1250393,85750.76
282990,341924,71092.06
73376,232533,87876.25
58129,1266628,31814.24
124488,1327047,25141.36
253615,56043,37510.85
45362,1360637,22994.79
117290,798308,30274.7
81083,1343214,33772.58
73187,23838,28899.2
25413,1239207,73091.19
149399,1214883,54410.48
42048,952544,28686.5
124010,952902,75919.82
950504,29720,26755.67
749248,197535,42722.23
182322,402232,27356.41
53280,1160753,42912.25
104147,328037,28734.55
40852,1217926,33405.58
47727,1111546,31343.8
114453,68541,38783.24
12915,239636,44963.79
117081,1309848,73467.24
49425,946187,25352.59
53574,768946,30727.71
10043,1199314,33586.22
219353,149693,29668.48
144479,1372264,33724.2
1513883,946069,23226.6
189783,1140111,76033.74
83840,1536045,34022.03
714603,107156,32459.39
183601,141346,63090.06
23344,82574,77680.58
1191209,1021812,56217.34
149399,256229,54269
268603,1160753,31850.26
171281,17276,34758.79
289583,1175335,45247.33
861002,1439238,57552.61
26516,175199,23554.92
810349,1005163,32400.27
565894,1207082,31318.81
181989,1326922,64120.41
48216,39245,57994.05
215232,241500,65350.96
170879,1299952,70144.23
462928,1375552,102750.64
665361,319591,38665.63
937210,1297752,27744.45
688692,1261689,85194.99
224583,812436,66061.83
10516,1065737,30826.15
182946,947560,36866.31
155058,1454451,93708.68
404663,1250776,36274.28
5846,229056,29355.26
554494,153720,34605.47
141168,80849,33402.21
730690,286589,26603.53
3014,649611,35232.48
66970,963498,47154.72
14589,206541,34207.64
180456,679250,30214.03
170879,139486,23510.93
138282,594946,39511.76
4837,197353,83677.03
10606,60743,32679.58
52809,12103,37179.4
265859,1245834,29002.94
147095,1537860,30505.57
9029,1004528,32859.71
196428,1043241,31858.59
87638,1422464,29286.36
82580,278940,35184.86
899853,172126,29510.01
182959,996164,54379.9
147566,328550,48758.87
1063349,86008,48991.5
831062,5245,29075.02
296779,67927,28114.25
12259,74044,76743.78
165987,277477,64820.25
158918,1177859,28172.21
164539,1018457,59860.3
184672,1180641,28323.24
141544,62456,65230.14
1065713,87388,61755.93
23838,197353,34415.84
200064,1326952,30006.78
55651,867289,89011.03
238314,73420,36110.88
104438,141346,30889.48
97076,604357,24784.03
366079,1201538,33932.51
123956,1308090,33201.13
55063,1115274,32408.27
32030,104033,95583.95
29879,1102121,23986.24
36275,1370820,58553.43
111699,298124,62981.29
197771,952394,54723.77
128919,597523,32375.96
20179,473781,35301.01
149242,943097,33249.13
198164,1058001,32026.76
207834,55285,20022.49
41100,1081210,98597.78
49408,241225,66224.16
122075,34425,67173.07
122075,207752,38447.79
269189,1337825,25285.49
237319,214663,68175.91
212359,1324946,32852.83
108732,203148,26995.07
205574,28985,7374.52
84260,1277375,61180.65
237051,199562,51671.35
69305,873433,56648.26
59108,1214395,30175.21
47156,154765,33162.66
223947,1017804,26686.66
83554,1026220,32671.23
390262,155538,26667.96
15701,1127969,27849.08
540803,405323,26082.64
260336,1330796,29419.72
807781,174912,28001.92
104104,1090807,72817.78
818795,192320,87248.31
232555,1018305,30495.85
349730,174912,69637.12
321334,300205,23390.68
289780,604882,35892.56
42008,49558,28283.24
889177,1034965,80340.31
303257,1123850,58924.6
289583,952691,29671.73
302954,1127925,30763.69
216521,1121361,25504.2
164539,143358,65018.86
115385,247019,63236.44
187290,29455,59761.61
749643,127903,28182.98
243010,1285494,33311.77
309177,963212,96632.59
63724,946950,30363.71
